x,y,elevation
10,5,100.48
11,5,101.99
12,5,101.69
13,5,99.6
14,5,95.85
15,5,90.64
16,5,84.24
17,5,76.97
18,5,69.16
19,5,61.14
20,5,53.18
21,5,45.54
22,5,38.41
23,5,31.92
24,5,26.15
0,6,36.34
1,6,44.08
2,6,52.55
3,6,61.57
4,6,70.86
5,6,80.13
6,6,88.99
7,6,97.08
8,6,104.01
9,6,109.44
10,6,113.1
11,6,114.81
12,6,114.49
13,6,112.17
14,6,107.99
15,6,102.17
16,6,95.03
17,6,86.91
18,6,78.17
19,6,69.17
20,6,60.24
21,6,51.65
22,6,43.61
23,6,36.28
24,6,29.74
0,7,40.16
1,7,48.76
2,7,58.18
3,7,68.21
4,7,78.56
5,7,88.87
6,7,98.73
7,7,107.71
8,7,115.39
9,7,121.4
10,7,125.45
11,7,127.33
12,7,126.96
13,7,124.4
14,7,119.78
15,7,113.38
16,7,105.51
17,7,96.56
18,7,86.93
19,7,77.0
20,7,67.13
21,7,57.61
22,7,48.7
23,7,40.54
24,7,33.26
0,8,43.73
1,8,53.16
2,8,63.5
3,8,74.52
4,8,85.88
5,8,97.2
6,8,108.01
7,8,117.84
8,8,126.22
9,8,132.76
10,8,137.13
11,8,139.13
12,8,138.69
13,8,135.86
14,8,130.81
15,8,123.83
16,8,115.28
17,8,105.56
18,8,95.09
19,8,84.3
20,8,73.56
21,8,63.19
22,8,53.46
23,8,44.54
24,8,36.56
0,9,46.94
1,9,57.14
2,9,68.34
3,9,80.28
4,9,92.6
5,9,104.86
6,9,116.54
7,9,127.14
8,9,136.14
9,9,143.12
10,9,147.75
11,9,149.81
12,9,149.24
13,9,146.11
14,9,140.64
15,9,133.11
16,9,123.92
17,9,113.5
18,9,102.3
19,9,90.75
20,9,79.24
21,9,68.13
22,9,57.68
23,9,48.09
24,9,39.5
0,10,49.66
1,10,60.56
2,10,72.53
3,10,85.3
4,10,98.48
5,10,111.57
6,10,124.02
7,10,135.27
8,10,144.79
9,10,152.11
10,10,156.89
11,10,158.92
12,10,158.17
13,10,154.73
14,10,148.83
15,10,140.8
16,10,131.05
17,10,120.04
18,10,108.21
19,10,96.03
20,10,83.9
21,10,72.18
22,10,61.15
23,10,51.02
24,10,41.92
0,11,51.78
1,11,63.26
2,11,75.89
3,11,89.36
4,11,103.26
5,11,117.05
6,11,130.13
7,11,141.9
8,11,151.79
9,11,159.32
10,11,164.15
11,11,166.08
12,11,165.09
13,11,161.32
14,11,155.01
15,11,146.54
16,11,136.32
17,11,124.82
18,11,112.53
19,11,99.88
20,11,87.3
21,11,75.13
22,11,63.68
23,11,53.15
24,11,43.69
0,12,53.19
1,12,65.11
2,12,78.24
3,12,92.26
4,12,106.71
5,12,121.02
6,12,134.56
7,12,146.68
8,12,156.79
9,12,164.39
10,12,169.16
11,12,170.9
12,12,169.64
13,12,165.53
14,12,158.85
15,12,150.01
16,12,139.44
17,12,127.62
18,12,115.01
19,12,102.08
20,12,89.24
21,12,76.83
22,12,65.14
23,12,54.39
24,12,44.72
0,13,53.8
1,13,65.98
2,13,79.43
3,13,93.8
4,13,108.6
5,13,123.23
6,13,137.02
7,13,149.3
8,13,159.46
9,13,167.0
10,13,171.59
11,13,173.09
12,13,171.52
13,13,167.09
14,13,160.12
15,13,151.02
16,13,140.23
17,13,128.25
18,13,115.53
19,13,102.52
20,13,89.62
21,13,77.16
22,13,65.44
23,13,54.66
24,13,44.95
0,14,53.54
1,14,65.8
2,14,79.35
3,14,93.83
4,14,108.74
5,14,123.45
6,14,137.26
7,14,149.5
8,14,159.53
9,14,166.87
10,14,171.21
11,14,172.41
12,14,170.55
13,14,165.86
14,14,158.69
15,14,149.45
16,14,138.62
17,14,126.66
18,14,114.03
19,14,101.15
20,14,88.41
21,14,76.12
22,14,64.56
23,14,53.93
24,14,44.36
0,15,52.38
1,15,64.5
2,15,77.91
3,15,92.25
4,15,107.0
5,15,121.53
6,15,135.13
7,15,147.11
8,15,156.85
9,15,163.87
10,15,167.88
11,15,168.78
12,15,166.67
13,15,161.8
14,15,154.55
15,15,145.34
16,15,134.64
17,15,122.9
18,15,110.57
19,15,98.04
20,15,85.67
21,15,73.76
22,15,62.56
23,15,52.26
24,15,42.99
0,16,50.33
1,16,62.08
2,16,75.11
3,16,89.04
4,16,103.35
5,16,117.43
6,16,130.57
7,16,142.09
8,16,151.38
9,16,157.98
10,16,161.62
11,16,162.24
12,16,159.95
13,16,155.02
14,16,147.84
15,16,138.84
16,16,128.46
17,16,117.15
18,16,105.32
19,16,93.34
20,16,81.53
21,16,70.19
22,16,59.53
23,16,49.74
24,16,40.92
0,17,47.45
1,17,58.63
2,17,71.02
3,17,84.27
4,17,97.89
5,17,111.26
6,17,123.71
7,17,134.57
8,17,143.27
9,17,149.37
10,17,152.63
11,17,153.01
12,17,150.63
13,17,145.79
14,17,138.84
15,17,130.22
16,17,120.36
17,17,109.67
18,17,98.52
19,17,87.28
20,17,76.22
21,17,65.6
22,17,55.64
23,17,46.49
24,17,38.25
0,18,43.86
1,18,54.26
2,18,65.79
3,18,78.14
4,18,90.81
5,18,103.24
6,18,114.79
7,18,124.84
8,18,132.83
9,18,138.39
10,18,141.28
11,18,141.47
12,18,139.12
13,18,134.49
14,18,127.94
15,18,119.88
16,18,110.7
17,18,100.8
18,18,90.51
19,18,80.15
20,18,69.98
21,18,60.23
22,18,51.08
23,18,42.68
24,18,35.11
0,19,39.73
1,19,49.18
2,19,59.68
3,19,70.92
4,19,82.45
5,19,93.76
6,19,104.24
7,19,113.34
8,19,120.56
9,19,125.54
10,19,128.08
11,19,128.17
12,19,125.94
13,19,121.65
14,19,115.64
15,19,108.28
16,19,99.94
17,19,90.96
18,19,81.65
19,19,72.29
20,19,63.11
21,19,54.31
22,19,46.06
23,19,38.49
24,19,31.67
0,20,35.23
1,20,43.64
2,20,52.97
3,20,62.97
4,20,73.22
5,20,83.27
6,20,92.59
7,20,100.67
8,20,107.06
9,20,111.45
10,20,113.67
11,20,113.71
12,20,111.7
13,20,107.86
14,20,102.5
15,20,95.95
16,20,88.54
17,20,80.57
18,20,72.32
19,20,64.03
20,20,55.9
21,20,48.11
22,20,40.81
23,20,34.1
24,20,28.06
0,21,30.59
1,21,37.89
2,21,46.0
3,21,54.68
4,21,63.59
5,21,72.31
6,21,80.41
7,21,87.43
8,21,92.98
9,21,96.81
10,21,98.74
11,21,98.79
12,21,97.04
13,21,93.72
14,21,89.08
15,21,83.4
16,21,76.97
17,21,70.06
18,21,62.9
19,21,55.7
20,21,48.63
21,21,41.87
22,21,35.52
23,21,29.68
24,21,24.43
0,22,26.0
1,22,32.19
2,22,39.07
3,22,46.43
4,22,53.99
5,22,61.4
6,22,68.28
7,22,74.25
8,22,78.99
9,22,82.27
10,22,83.95
11,22,84.03
12,22,82.59
13,22,79.81
14,22,75.91
15,22,71.11
16,22,65.67
17,22,59.81
18,22,53.72
19,22,47.59
20,22,41.57
21,22,35.8
22,22,30.38
23,22,25.39
24,22,20.9
0,23,21.64
1,23,26.77
2,23,32.47
3,23,38.57
4,23,44.84
5,23,50.99
6,23,56.7
7,23,61.68
8,23,65.65
9,23,68.42
10,23,69.87
11,23,70.0
12,23,68.88
13,23,66.63
14,23,63.44
15,23,59.49
16,23,54.99
17,23,50.13
18,23,45.06
19,23,39.94
20,23,34.91
21,23,30.08
22,23,25.53
23,23,21.35
24,23,17.57
0,24,17.64
1,24,21.81
2,24,26.42
3,24,31.36
4,24,36.44
5,24,41.43
6,24,46.08
7,24,50.15
8,24,53.41
9,24,55.71
10,24,56.97
11,24,57.15
12,24,56.31
13,24,54.55
14,24,52.01
15,24,48.85
16,24,45.21
17,24,41.26
18,24,37.13
19,24,32.94
20,24,28.81
21,24,24.83
22,24,21.09
23,24,17.64
24,24,14.52
